# Combined HERA http://www-h1.desy.de/h1/www/publications/htmlsplit/DESY-12-100.long.poster.html
#Q2	beta	xp 	xpsigma	tot
5.1	0.0018	0.05	0.019926	8.87
5.1	0.0018	0.075	0.023173	8.43
5.1	0.005625	0.016	0.013453	7.11
5.1	0.0056	0.025	0.011978	6.24
5.1	0.0056	0.035	0.013373	6.15
5.1	0.0056	0.05	0.014723	6.66
5.1	0.0056	0.075	0.018013	8.43
5.1	0.018	0.0085	0.011958	6.43
5.1	0.018	0.016	0.011056	5.8
5.1	0.0178	0.025	0.010878	5.98
5.1	0.018	0.035	0.010064	6.8
5.1	0.018	0.05	0.013406	6.68
5.1	0.0178	0.075	0.015412	8.31
5.1	0.0564	0.0025	0.010692	5.56
5.1	0.056235	0.0085	0.008805	5.67
5.1	0.056187	0.016	0.008807	6.04
5.1	0.0562	0.025	0.008354	6.7
5.1	0.18	0.0025	0.011773	6.11
5.1	0.18	0.0085	0.009499	5.76
5.1	0.56	0.0025	0.015269	6.21
8.8	0.0018	0.075	0.028843	13.35
8.8	0.0056	0.025	0.015211	7.23
8.8	0.0056	0.035	0.017142	7.16
8.8	0.0056	0.05	0.019667	6.29
8.8	0.0056	0.075	0.021211	7.71
8.8	0.018	0.0085	0.012778	6.65
8.8	0.018	0.016	0.012371	5.81
8.8	0.0178	0.025	0.01331	5.89
8.8	0.018	0.035	0.013035	6.64
8.8	0.018	0.05	0.015911	6.08
8.8	0.0178	0.075	0.016202	7.63
8.8	0.0564	0.0025	0.012546	6.04
8.8	0.056235	0.0085	0.010552	5.98
8.8	0.056187	0.016	0.010807	5.81
8.8	0.0562	0.025	0.009805	6.17
8.8	0.0562	0.035	0.010943	7.15
8.8	0.0562	0.05	0.014449	7.29
8.8	0.18	0.0025	0.012901	5.6
8.8	0.18	0.0085	0.010421	5.26
8.8	0.18	0.016	0.00902	6.58
8.8	0.56	0.0025	0.016568	6.27
15.3	0.0056	0.05	0.024528	8.6
15.3	0.0056	0.075	0.029551	11.84
15.3	0.018	0.016	0.017558	6.98
15.3	0.0178	0.025	0.016412	6.55
15.3	0.018	0.035	0.016493	7.45
15.3	0.018	0.05	0.017573	7.01
15.3	0.0178	0.075	0.021113	8.52
15.3	0.056235	0.0085	0.013434	7.51
15.3	0.056187	0.016	0.012236	6.28
15.3	0.0562	0.025	0.011339	6.58
15.3	0.0562	0.035	0.012143	7.97
15.3	0.0562	0.05	0.014044	7.55
15.3	0.0562	0.075	0.017428	9.09
15.3	0.18	0.0025	0.013553	6.04
15.3	0.18	0.0085	0.011061	5.85
15.3	0.18	0.016	0.0098	6.39
15.3	0.178	0.025	0.009706	8.06
15.3	0.56	0.0025	0.017269	6.32
15.3	0.56	0.0085	0.016235	6.07
26.5	0.0056	0.075	0.035925	17.98
26.5	0.0178	0.025	0.017912	9.42
26.5	0.0178	0.035	0.020187	10.11
26.5	0.0178	0.05	0.025046	8.39
26.5	0.0178	0.075	0.024864	11.88
26.5	0.056235	0.0085	0.015703	8.55
26.5	0.056187	0.016	0.014951	7.01
26.5	0.0562	0.025	0.01339	7.13
26.5	0.0562	0.035	0.015723	8.82
26.5	0.0562	0.05	0.018405	8.19
26.5	0.0562	0.075	0.021069	8.86
26.5	0.178	0.0025	0.013778	7.46
26.5	0.178	0.0085	0.012589	6.96
26.5	0.178	0.016	0.011333	7.55
26.5	0.178	0.025	0.009306	8.18
26.5	0.178	0.035	0.009957	11.35
26.5	0.562	0.0025	0.018921	7.04
26.5	0.562	0.0085	0.013977	6.57
46	0.018	0.05	0.031342	10.78
46	0.0178	0.075	0.021787	19.76
46	0.056187	0.016	0.01626	10.21
46	0.0562	0.025	0.017189	10.05
46	0.0562	0.035	0.015773	9.59
46	0.0562	0.05	0.019916	9.15
46	0.0562	0.075	0.02117	9.73
46	0.18	0.0085	0.012079	8.63
46	0.18	0.016	0.01334	7.71
46	0.178	0.025	0.013487	9.84
46	0.18	0.035	0.012876	9
46	0.18	0.05	0.014785	9.27
46	0.178	0.075	0.02005	11.62
46	0.56	0.0025	0.019636	7.5
46	0.56	0.0085	0.013469	7.18
46	0.56	0.016	0.012367	8.61
46	0.562	0.025	0.010618	14.44
80	0.0562	0.035	0.022673	19.96
80	0.0562	0.05	0.023501	16.11
80	0.0562	0.075	0.021634	25.07
80	0.178	0.0085	0.020585	16.07
80	0.178	0.016	0.013334	13.5
80	0.178	0.025	0.014631	12.7
80	0.178	0.035	0.016199	15.18
80	0.178	0.05	0.014623	16.13
80	0.178	0.075	0.018334	26.56
80	0.562	0.0085	0.011556	12.2
80	0.562	0.016	0.009005	15.29
80	0.562	0.025	0.010433	17.9
80	0.562	0.035	0.010854	25.8
200	0.0562	0.05	0.016178	28.1
200	0.0562	0.075	0.028751	37.17
200	0.178	0.016	0.014481	20.5
200	0.178	0.025	0.0199	17.02
200	0.178	0.035	0.016857	22.52
200	0.178	0.05	0.023457	20.9
200	0.178	0.075	0.020912	35.44
200	0.562	0.0085	0.010854	20.5
200	0.562	0.016	0.00928	23.9
200	0.562	0.025	0.00738	28.08
200	0.562	0.035	0.015836	33.65
200	0.562	0.05	0.015132	29.11
200	0.562	0.075	0.022835	50.27
2.5	0.18	0.00035	0.015624	11.36
2.5	0.18	0.0009	0.010159	8.51
2.5	0.18	0.0025	0.006778	11.2
2.5	0.18	0.0085	0.007437	14.76
2.5	0.056667	0.0009	0.011357	16.38
2.5	0.0564	0.0025	0.007434	11.93
2.5	0.056235	0.0085	0.006394	12.57
2.5	0.056187	0.016	0.006779	15.12
2.5	0.018	0.0025	0.009893	15.84
2.5	0.018	0.0085	0.007621	11.81
2.5	0.018	0.016	0.007332	13.27
2.5	0.0178	0.025	0.007113	13.5
2.5	0.018	0.05	0.011381	11.43
2.5	0.0178	0.075	0.01227	14.15
2.5	0.005647	0.0085	0.010079	23.04
2.5	0.005625	0.016	0.009305	14.39
2.5	0.0056	0.025	0.009647	19.76
2.5	0.0056	0.05	0.011685	12.86
2.5	0.005627	0.075	0.014281	18.45
2.5	0.005622	0.09	0.01537	16.89
2.5	0.00178	0.05	0.010979	20.66
2.5	0.001773	0.075	0.016595	16.74
2.5	0.001778	0.09	0.012795	18.01
5.1	0.005622	0.09	0.022364	13.81
8.8	0.56	0.00035	0.024999	9.31
8.8	0.56	0.0009	0.020705	7.94
8.8	0.56	0.0085	0.014179	10.44
8.8	0.18	0.0009	0.017712	9.55
8.8	0.0562	0.075	0.014042	12.34
8.8	0.0178	0.09	0.021956	12.22
8.8	0.005622	0.09	0.028111	11.73
15.3	0.56	0.0009	0.017987	10.45
15.3	0.0562	0.09	0.016212	11.91
15.3	0.0178	0.09	0.023416	11.3
46	0.815556	0.0009	0.014515	22.11
46	0.816	0.0025	0.013148	19.59
46	0.816	0.0085	0.011021	19.33
46	0.816	0.016	0.009223	27.78
46	0.56	0.035	0.013523	15.96
46	0.178	0.09	0.017676	14.19
26.5	0.0562	0.09	0.023683	11.25
46	0.0562	0.09	0.026705	10.39
2.5	0.0562	0.025	0.006318	20.01
5.1	0.0562	0.05	0.009477	20.75
5.1	0.0562	0.075	0.015261	26.88
5.1	0.177778	0.0009	0.012091	13.94
5.1	0.178	0.025	0.010697	19.47
5.1	0.56	0.0009	0.018664	11.59
8.8	0.178	0.025	0.009814	20.46
8.8	0.18	0.05	0.011591	15.35
26.5	0.178	0.05	0.010522	29.66
26.5	0.178	0.075	0.016949	43.49
26.5	0.562222	0.0009	0.024149	25.13
26.5	0.562	0.025	0.013583	34.95
2.5	0.0056	0.035	0.010952	21.71
2.5	0.018	0.035	0.009481	32.82
2.5	0.18	0.016	0.011616	20.24
2.5	0.56	0.00035	0.021384	18.97
2.5	0.56	0.0009	0.017192	30.53
2.5	0.56	0.0025	0.011008	35.7
5.1	0.18	0.016	0.00749	19.22
5.1	0.18	0.035	0.006461	25.17
5.1	0.56	0.00035	0.027535	15.79
5.1	0.56	0.0085	0.013718	27.11
8.8	0.18	0.035	0.010266	20.45
8.8	0.56	0.016	0.010244	22.09
15.3	0.18	0.035	0.011727	23.09
15.3	0.18	0.05	0.01343	19.79
15.3	0.56	0.016	0.01509	22.19
15.3	0.56	0.035	0.009359	29.46
46	0.56	0.05	0.01197	26
